Sample,ligand_type,ligand_quantity,additive_type,additive_quantity,halogen_type_alloy,halogen_alloy_quantity,temperature,structure_type,optical_absorption,particle_size,Unnamed: 11,Notes
1 sem AO,OLA,10.0,0,0,0,0,20,0,0.1494894,9.090909090909092,,"TIPO ESTRUTURA: 0 - caso nao forme nem dimero nem camadas, 1 - para dimero, 2 - para camadas"
2,OLA,10.0,0,0,0,0,20,1,0.135336106,9.090909090909092,,
3 OLA HI 230C,OLA,,0,0,0,0,230,2,0.135336106,100.0,,
4 sem OLA,,0.0,0,0,0,0,20,1,0.150736999,100.0,,
5,OLA,5.0,0,0,0,0,20,1,3.388061261,16.666666666666668,,"ABSORÇAO: Integrado de 300 nm a 500 nm dos plots UV-VIS do sobrenadante/sólido (ainda precisamos decidir), tem que excluir as variaçoes de OLA pq elas contaminam essa variavel."
6,OLA,50.0,0,0,0,0,20,1,0.16286133,1.9607843137254901,,
7,OLA,100.0,0,0,0,0,20,1,0.16286133,0.9900990099009901,,
8,OLA,200.0,0,0,0,0,20,2,0.16286133,0.4975124378109453,,
9,OLA,300.0,0,0,0,0,20,2,0.150736999,0.33222591362126247,,
10,OLA,400.0,0,0,0,0,20,2,0.16286133,0.24937655860349128,,"TAMANHO DE PARTICULA:  nao sei se teremos, talvez de algumas poucas, vamos ver como trabalhar."
11,OLA,500.0,0,0,0,0,20,0,0.16286133,0.1996007984031936,,
12,OLA,600.0,0,0,0,0,20,0,0.16286133,0.16638935108153077,,
13,OLA,700.0,0,0,0,0,20,0,0.150736999,0.14265335235378032,,
14,OLA,800.0,0,0,0,0,20,0,0.16286133,0.12484394506866417,,
15,OLA,900.0,0,0,0,0,20,0,0.150736999,0.11098779134295228,,
16,OLA,1000.0,0,0,0,0,20,0,0.16286133,0.0999000999000999,,
17,OLA,10.0,HCl,15,0,0,20,0,0.323620761,3.8461538461538463,,
18,OLA,10.0,HCl,30,0,0,20,0,0.64053236,2.4390243902439024,,
19,OLA,10.0,HCl,60,0,0,20,0,1.022456966,1.408450704225352,,
20,OLA,10.0,HCl,100,0,0,20,0,1.851076759,0.9009009009009009,,
21,OLA,10.0,HCl,200,0,0,20,0,3.302697421,0.47393364928909953,,
22,OLA,10.0,HCl,400,0,0,20,0,7.797024604,0.24330900243309003,,
23,OLA,10.0,0,0,Br,1,20,1,0.154201658,9.090909090909092,,
24,OLA,10.0,0,0,Br,2,20,1,0.198448044,9.090909090909092,,
25,OLA,10.0,0,0,Br,3,20,2,0.211030678,9.090909090909092,,
26,OLA,10.0,0,0,Br,4,20,0,0.235293055,9.090909090909092,,
27,OLA,10.0,0,0,Cl,1,20,0,0.16286133,9.090909090909092,,
28,OLA,10.0,0,0,Cl,2,20,0,0.202474823,9.090909090909092,,
29,OLA,10.0,0,0,Cl,3,20,0,0.183864618,9.090909090909092,,
30,OLA,10.0,0,0,Cl,4,20,0,0.200234053,9.090909090909092,,
31,OMA,10.0,0,0,Br,3,20,2,0.228931118,9.090909090909092,,
32,OMA,200.0,0,0,0,0,20,2,0.16286133,0.4975124378109453,,
33,OMA,10.0,0,0,Br,3,100,2,3.915548153,9.090909090909092,,
34,OMA,200.0,0,0,0,0,100,0,0.16286133,0.4975124378109453,,
