sample_id,phase,ola_uL,y_br,oa_uL,toluene_mL,temperature_C,ligand_type,additive_type,additive_qty,halogen_type,structural_response,in_grid
1,initial,10.0,0,600,3,20,OLA,none,0,none,0,no
2,initial,10.0,0,600,3,20,OLA,none,0,none,1,no
3,initial,,0,600,3,230,OLA,none,0,none,2,no
4,initial,0.0,0,600,3,20,none,none,0,none,1,no
5,initial,5.0,0,600,3,20,OLA,none,0,none,1,yes
6,initial,50.0,0,600,3,20,OLA,none,0,none,1,yes
7,initial,100.0,0,600,3,20,OLA,none,0,none,1,yes
8,initial,200.0,0,600,3,20,OLA,none,0,none,2,yes
9,initial,300.0,0,600,3,20,OLA,none,0,none,2,yes
10,initial,400.0,0,600,3,20,OLA,none,0,none,2,yes
11,initial,500.0,0,600,3,20,OLA,none,0,none,0,yes
12,initial,600.0,0,600,3,20,OLA,none,0,none,0,yes
13,initial,700.0,0,600,3,20,OLA,none,0,none,0,yes
14,initial,800.0,0,600,3,20,OLA,none,0,none,0,yes
15,initial,900.0,0,600,3,20,OLA,none,0,none,0,yes
16,initial,1000.0,0,600,3,20,OLA,none,0,none,0,yes
17,initial,10.0,0,600,3,20,OLA,HCl,15,none,0,no
18,initial,10.0,0,600,3,20,OLA,HCl,30,none,0,no
19,initial,10.0,0,600,3,20,OLA,HCl,60,none,0,no
20,initial,10.0,0,600,3,20,OLA,HCl,100,none,0,no
21,initial,10.0,0,600,3,20,OLA,HCl,200,none,0,no
22,initial,10.0,0,600,3,20,OLA,HCl,400,none,0,no
23,initial,10.0,1,600,3,20,OLA,none,0,Br,1,yes
24,initial,10.0,2,600,3,20,OLA,none,0,Br,1,yes
25,initial,10.0,3,600,3,20,OLA,none,0,Br,2,yes
26,initial,10.0,4,600,3,20,OLA,none,0,Br,0,yes
27,initial,10.0,1,600,3,20,OLA,none,0,Cl,0,no
28,initial,10.0,2,600,3,20,OLA,none,0,Cl,0,no
29,initial,10.0,3,600,3,20,OLA,none,0,Cl,0,no
30,initial,10.0,4,600,3,20,OLA,none,0,Cl,0,no
31,initial,10.0,3,600,3,20,OMA,none,0,Br,2,no
32,initial,200.0,0,600,3,20,OMA,none,0,none,2,no
33,initial,10.0,3,600,3,100,OMA,none,0,Br,2,no
34,initial,200.0,0,600,3,100,OMA,none,0,none,0,no
35,initial,10.0,0,0,3,20,OLA,none,0,none,1,yes
36,initial,10.0,0,600,3,20,OLA,none,0,none,1,yes
37,initial,10.0,0,900,3,20,OLA,none,0,none,1,yes
38,initial,10.0,0,1200,3,20,OLA,none,0,none,1,yes
39,initial,10.0,0,600,6,20,OLA,none,0,none,1,yes
40,initial,10.0,0,600,9,20,OLA,none,0,none,1,yes
41,AL_round1,400.0,0,1200,9,20,OLA,none,0,none,2,yes
42,AL_round1,400.0,1,1200,9,20,OLA,none,0,Br,2,yes
43,AL_round1,500.0,1,1200,6,20,OLA,none,0,Br,2,yes
44,AL_round1,300.0,4,1200,9,20,OLA,none,0,Br,2,yes
45,AL_round1,500.0,0,1200,9,20,OLA,none,0,none,2,yes
46,AL_round1,300.0,0,1200,6,20,OLA,none,0,none,2,yes
47,AL_round1,200.0,1,1200,3,20,OLA,none,0,Br,2,yes
48,AL_round1,300.0,1,1200,3,20,OLA,none,0,Br,2,yes
49,AL_round1,200.0,4,1200,6,20,OLA,none,0,Br,2,yes
50,AL_round1,200.0,3,900,6,20,OLA,none,0,Br,2,yes
51,AL_round1,500.0,4,1200,9,20,OLA,none,0,Br,2,yes
52,AL_round1,5.0,4,1200,3,20,OLA,none,0,Br,1,yes
53,AL_round1,400.0,3,600,6,20,OLA,none,0,Br,0,yes
54,AL_round1,400.0,0,0,9,20,OLA,none,0,none,0,yes
55,AL_round1,500.0,4,0,9,20,OLA,none,0,Br,0,yes
56,AL_round1,100.0,2,600,9,20,OLA,none,0,Br,0,yes
57,AL_round1,500.0,1,0,6,20,OLA,none,0,Br,0,yes
58,AL_round1,100.0,4,0,6,20,OLA,none,0,Br,0,yes
59,AL_round1,500.0,0,0,9,20,OLA,none,0,none,0,yes
60,AL_round1,500.0,0,0,9,20,OLA,none,0,none,0,yes
61,AL_round1,300.0,0,0,6,20,OLA,none,0,none,0,yes
62,AL_round1,300.0,4,0,9,20,OLA,none,0,Br,0,yes
63,AL_round1,200.0,4,0,6,20,OLA,none,0,Br,0,yes
64,AL_round1,500.0,1,0,9,20,OLA,none,0,Br,0,yes
65,AL_round2,200.0,3,900,3,20,OLA,none,0,Br,2,yes
66,AL_round2,200.0,2,1200,6,20,OLA,none,0,Br,2,yes
67,AL_round2,200.0,2,600,9,20,OLA,none,0,Br,2,yes
68,AL_round2,500.0,0,1200,9,20,OLA,none,0,none,2,yes
69,AL_round2,200.0,0,1200,3,20,OLA,none,0,none,2,yes
70,AL_round2,300.0,0,1200,6,20,OLA,none,0,none,2,yes
71,AL_round2,500.0,0,1200,3,20,OLA,none,0,none,2,yes
72,AL_round2,200.0,2,600,9,20,OLA,none,0,Br,2,yes
73,AL_round2,300.0,0,600,9,20,OLA,none,0,none,2,yes
74,AL_round2,300.0,0,1200,9,20,OLA,none,0,none,2,yes
75,AL_round2,400.0,4,1200,3,20,OLA,none,0,Br,2,yes
76,AL_round2,100.0,4,1200,3,20,OLA,none,0,Br,2,yes
77,AL_round2,200.0,4,900,9,20,OLA,none,0,Br,2,yes
78,AL_round2,500.0,1,900,3,20,OLA,none,0,Br,2,yes
79,AL_round2,200.0,3,900,9,20,OLA,none,0,Br,2,yes
80,AL_round2,100.0,4,900,6,20,OLA,none,0,Br,2,yes
81,AL_round2,500.0,0,900,6,20,OLA,none,0,none,2,yes
82,AL_round2,300.0,1,900,6,20,OLA,none,0,Br,2,yes
83,AL_round2,200.0,1,600,6,20,OLA,none,0,Br,2,yes
84,AL_round2,400.0,1,900,3,20,OLA,none,0,Br,2,yes
85,AL_round2,500.0,0,900,9,20,OLA,none,0,none,2,yes
86,AL_round2,500.0,3,1200,6,20,OLA,none,0,Br,2,yes
87,AL_round2,500.0,3,1200,3,20,OLA,none,0,Br,2,yes
88,AL_round2,400.0,2,900,9,20,OLA,none,0,Br,2,yes
